Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-input-tujuan-pengajuan.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:27:00,2022-03-28 12:27:01,0.673s,PASSED
"markPassed(""scenario 1 - Input Tujuan Pengajuan"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:01,2022-03-28 12:27:01,0.000s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:01,2022-03-28 12:27:02,1.010s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/div_Pembelian Aset""))",Chrome 99.0.4844.82,,,2022-03-28 12:27:02,2022-03-28 12:27:02,0.442s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:02,2022-03-28 12:27:03,1.012s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/button_Payment""))",Chrome 99.0.4844.82,,,2022-03-28 12:27:03,2022-03-28 12:27:03,0.441s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:03,2022-03-28 12:27:04,1.010s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/input_autodebet""))",Chrome 99.0.4844.82,,,2022-03-28 12:27:04,2022-03-28 12:27:05,0.462s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:05,2022-03-28 12:27:06,1.003s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-input-payment.png"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:06,2022-03-28 12:27:07,0.912s,PASSED
"markPassed(""scenario 1 - Input Payment"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:07,2022-03-28 12:27:07,0.001s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:07,2022-03-28 12:27:08,1.011s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/div_Auto Debet""))",Chrome 99.0.4844.82,,,2022-03-28 12:27:08,2022-03-28 12:27:08,0.446s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:08,2022-03-28 12:27:09,1.007s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Account No. 10 Digit_text-input-account-no""), information_accountNum)",Chrome 99.0.4844.82,Melakukan input account no.,,2022-03-28 12:27:09,2022-03-28 12:27:10,0.844s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:10,2022-03-28 12:27:11,1.009s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/input_Account No. 10 Digit_inline-checkbox-autodebetNoRek""), OPTIONAL)",Chrome 99.0.4844.82,Melakukan checklist autodebet no. rekening,,2022-03-28 12:27:11,2022-03-28 12:27:12,0.452s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/Capture_rekeningautodebet""))",Chrome 99.0.4844.82,Menekan tombol capture rekening auto debet,,2022-03-28 12:27:12,2022-03-28 12:27:12,0.664s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:12,2022-03-28 12:27:13,1.003s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_npwp)",Chrome 99.0.4844.82,Melakukan upload file rekening auto debet,,2022-03-28 12:27:13,2022-03-28 12:27:14,0.326s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Account No. 10 Digit_noRekening""), information_accountNum2)",Chrome 99.0.4844.82,Melakukan input account no.,,2022-03-28 12:27:14,2022-03-28 12:27:15,1.530s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:15,2022-03-28 12:27:16,1.018s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Cabang BCA_cabangBca""), information_cabang)",Chrome 99.0.4844.82,Melakukan input cabang BCA,,2022-03-28 12:27:16,2022-03-28 12:27:17,0.812s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:17,2022-03-28 12:27:18,1.009s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Nama Pemilik Rekening_form-control ng-untouched ng-pristine ng-invalid""), information_namaPemilikRek)",Chrome 99.0.4844.82,Melakuakan input nama pemilik rekening,,2022-03-28 12:27:18,2022-03-28 12:27:19,0.712s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:19,2022-03-28 12:27:20,1.004s,PASSED
