Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Capture_TDP""))",Chrome 99.0.4844.82,Menekan tombol capture TDP,,2022-03-28 12:06:49,2022-03-28 12:06:50,0.335s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:50,2022-03-28 12:06:52,2.013s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_tdp)",Chrome 99.0.4844.82,Menekan tombol capture TDP,,2022-03-28 12:06:52,2022-03-28 12:06:52,0.328s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:52,2022-03-28 12:06:54,2.010s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-Capture-npwp-siup-tdp.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:06:54,2022-03-28 12:06:55,0.882s,PASSED
"markPassed(""Scenario 1 - Capture NPWP + SIUP + TDP"")",Chrome 99.0.4844.82,,,2022-03-28 12:06:55,2022-03-28 12:06:55,0.000s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:55,2022-03-28 12:06:57,2.003s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_Ada Perubahan Data Tidak""))",Chrome 99.0.4844.82,Memilih ada perubahan data ( Tidak ),,2022-03-28 12:06:57,2022-03-28 12:06:57,0.342s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:57,2022-03-28 12:06:58,1.017s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_Ada Perubahan Data YA""))",Chrome 99.0.4844.82,Memilih ada peruahan data ( Ya ),,2022-03-28 12:06:58,2022-03-28 12:06:59,0.334s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:59,2022-03-28 12:07:00,1.006s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-Memilih-Radio-Button-Perubahan-Data.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:07:00,2022-03-28 12:07:01,0.888s,PASSED
"markPassed(""Scenario 1 - Memilih Radio Button Perubahan Data"")",Chrome 99.0.4844.82,,,2022-03-28 12:07:01,2022-03-28 12:07:01,0.000s,PASSED
